seq,ms,raw_freq_hz,tracked_freq_hz,raw_confidence,tracked_confidence,envelope,attack,gate,pitch_valid,onset,input_peak,input_rms,filtered_peak,filtered_rms,c1_freq,c1_score,c2_freq,c2_score,c3_freq,c3_score,c4_freq,c4_score
11461,122282, 54.54, 53.52, 0.605, 0.645, 0.016158, 0.013791,1,1,0, 0.040487, 0.026110, 0.018963, 0.011648, 54.54, 0.605, 37.73, 0.368, 131.86, 0.283, 0.00, 0.000
11462,122293, 37.97, 52.90, 0.552, 0.493, 0.015128, 0.009665,1,1,0, 0.023559, 0.011961, 0.016590, 0.008719, 37.97, 0.552, 52.63, 0.462, 144.57, 0.021, 0.00, 0.000
11463,122304, 33.24, 52.90, 0.255, 0.443, 0.013904, 0.006773,1,1,0, 0.010457, 0.005393, 0.011475, 0.006545, 33.24, 0.255, 169.01, 0.123, 0.00, 0.000, 0.00, 0.000
11464,122314, 173.91, 52.90, 0.119, 0.399, 0.012406, 0.004746,1,1,0, 0.004529, 0.002038, 0.006388, 0.002544, 173.91, 0.119, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000
11465,122325, 57.97, 56.44, 0.520, 0.520, 0.011734, 0.003326,1,1,0, 0.016706, 0.008826, 0.012467, 0.007301, 57.97, 0.520, 94.48, 0.464, 146.34, 0.353, 40.81, 0.293
11466,122336, 54.29, 56.44, 0.399, 0.468, 0.010886, 0.002330,1,1,0, 0.011177, 0.006861, 0.009933, 0.005739, 54.29, 0.399, 100.84, 0.334, 40.40, 0.230, 0.00, 0.000
11467,122346, 52.17, 53.45, 0.774, 0.816, 0.010300, 0.001633,1,1,0, 0.013454, 0.006395, 0.011500, 0.006024, 52.17, 0.774, 33.89, 0.688, 101.69, 0.649, 0.00, 0.000
11468,122357, 53.09, 53.20, 0.721, 0.753, 0.009509, 0.001144,1,1,0, 0.007976, 0.004787, 0.007417, 0.004421, 53.09, 0.721, 100.00, 0.690, 34.88, 0.603, 0.00, 0.000
11469,122368, 55.55, 54.85, 0.681, 0.705, 0.008435, 0.000802,1,1,0, 0.003374, 0.001424, 0.001935, 0.001048, 55.55, 0.681, 98.36, 0.501, 36.14, 0.433, 0.00, 0.000
11470,122378, 57.14, 55.81, 0.602, 0.614, 0.009126, 0.006764,1,1,0, 0.018057, 0.009657, 0.011226, 0.006050, 57.14, 0.602, 40.67, 0.363, 92.30, 0.234, 0.00, 0.000
11471,122389, 39.60, 49.00, 0.573, 0.538, 0.009071, 0.004740,1,1,0, 0.014912, 0.008835, 0.009748, 0.005476, 39.60, 0.573, 102.56, 0.343, 55.81, 0.204, 0.00, 0.000
11472,122400, 100.00, 50.43, 0.572, 0.551, 0.008893, 0.003321,1,1,0, 0.015391, 0.007221, 0.009848, 0.005787, 100.00, 0.572, 52.40, 0.508, 34.28, 0.185, 0.00, 0.000
11473,122410, 54.29, 52.05, 0.633, 0.621, 0.016292, 0.015755,1,1,0, 0.035741, 0.019802, 0.020030, 0.010907, 54.29, 0.633, 100.00, 0.501, 35.08, 0.326, 0.00, 0.000
11474,122421, 36.47, 41.14, 0.623, 0.608, 0.610087, 0.936155,1,1,1, 1.000000, 0.522888, 0.852289, 0.388001, 36.47, 0.623, 101.69, 0.193, 0.00, 0.000, 0.00, 0.000
11475,122432, 36.03, 37.56, 0.786, 0.782, 0.594776, 0.656039,1,1,0, 0.712363, 0.327470, 0.675788, 0.357551, 36.03, 0.786, 49.38, 0.285, 84.50, 0.068, 0.00, 0.000
11476,122442, 40.13, 39.36, 0.856, 0.870, 0.715798, 1.000000,1,1,0, 0.958623, 0.550649, 1.235268, 0.399973, 40.13, 0.856, 30.22, 0.769, 67.41, 0.315, 0.00, 0.000
11477,122453, 40.95, 40.47, 0.851, 0.893, 0.911527, 0.716029,1,1,0, 1.000000, 0.595842, 1.296081, 0.601404, 40.95, 0.851, 73.61, 0.237, 85.10, 0.232, 0.00, 0.000
11478,122464, 40.54, 40.52, 0.921, 0.943, 0.817787, 0.501779,1,1,0, 0.952031, 0.368353, 0.645583, 0.267685, 40.54, 0.921, 74.53, 0.246, 0.00, 0.000, 0.00, 0.000
11479,122474, 41.52, 41.22, 0.996, 0.997, 0.973099, 0.778797,1,1,0, 1.000000, 0.701473, 1.247322, 0.648740, 41.52, 0.996, 92.30, 0.234, 0.00, 0.000, 0.00, 0.000
11480,122485, 41.52, 41.43, 0.998, 0.998, 0.862084, 0.545765,1,1,0, 0.273631, 0.099029, 0.321303, 0.122196, 41.52, 0.998, 81.08, 0.197, 0.00, 0.000, 0.00, 0.000
11481,122496, 41.52, 41.49, 0.998, 0.998, 0.995522, 0.853562,1,1,0, 1.000000, 0.783743, 1.224227, 0.670337, 41.52, 0.998, 85.10, 0.211, 0.00, 0.000, 0.00, 0.000
11482,122506, 41.52, 41.51, 0.998, 0.998, 0.893289, 0.598159,1,1,0, 0.195173, 0.120843, 0.377243, 0.223059, 41.52, 0.998, 81.63, 0.251, 0.00, 0.000, 0.00, 0.000
11483,122517, 41.52, 41.52, 0.998, 0.999, 1.007397, 0.906877,1,1,0, 1.000000, 0.698563, 1.204687, 0.622318, 41.52, 0.998, 84.50, 0.291, 0.00, 0.000, 0.00, 0.000
11484,122528, 41.52, 41.52, 0.999, 0.999, 0.913156, 0.635521,1,1,0, 1.000000, 0.348742, 0.780617, 0.310676, 41.52, 0.999, 81.63, 0.341, 0.00, 0.000, 0.00, 0.000
11485,122538, 41.52, 41.52, 0.997, 0.998, 0.833575, 0.445360,1,1,0, 0.985447, 0.505603, 0.711772, 0.349367, 41.52, 0.997, 81.08, 0.392, 0.00, 0.000, 0.00, 0.000
11486,122549, 41.52, 41.52, 0.999, 0.999, 0.927771, 0.578991,1,1,0, 1.000000, 0.579285, 1.145610, 0.589274, 41.52, 0.999, 84.50, 0.419, 0.00, 0.000, 0.00, 0.000
11487,122560, 41.52, 41.52, 0.997, 0.998, 0.835620, 0.405745,1,1,0, 0.868574, 0.329349, 0.564599, 0.256929, 41.52, 0.997, 82.75, 0.421, 0.00, 0.000, 0.00, 0.000
11488,122570, 41.52, 41.52, 0.998, 0.999, 0.930583, 0.535600,1,1,0, 1.000000, 0.679653, 1.082475, 0.613826, 41.52, 0.998, 82.75, 0.407, 0.00, 0.000, 0.00, 0.000
11489,122581, 41.52, 41.52, 0.999, 0.999, 0.832092, 0.375337,1,1,0, 0.230662, 0.153503, 0.314780, 0.173185, 41.52, 0.999, 81.63, 0.393, 0.00, 0.000, 0.00, 0.000
11490,122592, 41.52, 41.52, 0.999, 0.999, 0.925754, 0.471077,1,1,0, 1.000000, 0.732125, 1.026265, 0.631326, 41.52, 0.999, 83.91, 0.400, 0.00, 0.000, 0.00, 0.000
11491,122602, 41.52, 41.52, 0.998, 0.999, 0.836041, 0.330121,1,1,0, 0.241710, 0.166252, 0.317082, 0.226353, 41.52, 0.998, 82.19, 0.439, 0.00, 0.000, 0.00, 0.000
11492,122613, 41.52, 41.52, 0.998, 0.999, 0.915372, 0.384147,1,1,0, 1.000000, 0.628740, 1.003819, 0.563748, 41.52, 0.998, 84.50, 0.476, 0.00, 0.000, 0.00, 0.000
11493,122624, 41.52, 41.52, 0.998, 0.999, 0.833962, 0.269202,1,1,0, 1.000000, 0.368041, 0.905964, 0.328623, 41.52, 0.998, 81.63, 0.516, 0.00, 0.000, 0.00, 0.000
11494,122634, 41.52, 41.52, 0.997, 0.998, 0.766855, 0.188651,1,1,0, 0.999999, 0.511598, 0.687933, 0.359688, 41.52, 0.997, 82.19, 0.559, 0.00, 0.000, 0.00, 0.000
11495,122645, 41.52, 41.52, 0.999, 0.999, 0.834493, 0.318017,1,1,0, 1.000000, 0.503985, 0.971306, 0.533065, 41.52, 0.999, 83.33, 0.582, 0.00, 0.000, 0.00, 0.000
11496,122656, 41.52, 41.52, 0.998, 0.999, 0.756299, 0.222859,1,1,0, 0.755145, 0.296901, 0.543717, 0.254863, 41.52, 0.998, 83.33, 0.578, 0.00, 0.000, 0.00, 0.000
11497,122666, 41.52, 41.52, 0.999, 0.999, 0.822467, 0.323073,1,1,0, 0.999999, 0.626429, 0.941393, 0.556820, 41.52, 0.999, 82.19, 0.572, 0.00, 0.000, 0.00, 0.000
11498,122677, 41.52, 41.52, 0.998, 0.999, 0.742734, 0.226403,1,1,0, 0.350448, 0.215636, 0.327269, 0.214977, 41.52, 0.998, 82.19, 0.579, 0.00, 0.000, 0.00, 0.000
11499,122688, 41.52, 41.52, 0.998, 0.999, 0.808774, 0.372771,1,1,0, 0.999999, 0.647141, 0.901575, 0.568735, 41.52, 0.998, 83.33, 0.602, 0.00, 0.000, 0.00, 0.000
11500,122698, 41.52, 41.52, 0.998, 0.998, 0.735939, 0.261230,1,1,0, 0.387023, 0.230765, 0.331106, 0.242304, 41.52, 0.998, 82.19, 0.648, 0.00, 0.000, 0.00, 0.000
11501,122709, 41.52, 41.52, 0.998, 0.998, 0.765215, 0.409443,1,1,0, 0.999999, 0.538138, 0.865451, 0.477355, 41.52, 0.998, 83.91, 0.678, 0.00, 0.000, 0.00, 0.000
11502,122720, 41.52, 41.52, 0.999, 0.999, 0.723030, 0.286929,1,1,0, 0.863704, 0.371808, 0.861818, 0.343316, 41.52, 0.999, 82.19, 0.704, 0.00, 0.000, 0.00, 0.000
11503,122730, 41.52, 41.52, 0.998, 0.999, 0.678605, 0.201074,1,1,0, 0.999999, 0.500955, 0.707374, 0.376651, 41.52, 0.998, 82.75, 0.726, 0.00, 0.000, 0.00, 0.000
11504,122741, 41.52, 41.52, 0.999, 0.999, 0.721732, 0.299712,1,1,0, 0.829131, 0.422082, 0.847708, 0.453770, 41.52, 0.999, 82.19, 0.737, 0.00, 0.000, 0.00, 0.000
11505,122752, 41.52, 41.52, 0.998, 0.998, 0.661085, 0.210032,1,1,0, 0.578711, 0.298822, 0.477460, 0.271358, 41.52, 0.998, 83.91, 0.743, 0.00, 0.000, 0.00, 0.000
11506,122762, 41.52, 41.52, 0.998, 0.998, 0.709494, 0.291386,1,1,0, 0.999999, 0.562294, 0.808588, 0.493282, 41.52, 0.998, 82.19, 0.753, 0.00, 0.000, 0.00, 0.000
