seq,ms,raw_freq_hz,tracked_freq_hz,raw_confidence,tracked_confidence,envelope,attack,gate,pitch_valid,onset,input_peak,input_rms,filtered_peak,filtered_rms,c1_freq,c1_score,c2_freq,c2_score,c3_freq,c3_score,c4_freq,c4_score
23016,245536, 41.23, 41.23, 0.999, 0.999, 0.456809, 0.240934,1,1,0, 0.446298, 0.127793, 0.309160, 0.119546, 41.23, 0.999, 80.00, 0.362, 0.00, 0.000, 0.00, 0.000
23017,245546, 41.09, 41.17, 0.992, 0.994, 0.419217, 0.168842,1,1,0, 0.472006, 0.254486, 0.436689, 0.180704, 41.09, 0.992, 83.33, 0.377, 0.00, 0.000, 0.00, 0.000
23018,245557, 41.09, 41.14, 0.996, 0.997, 0.452099, 0.173364,1,1,0, 0.544437, 0.281491, 0.522776, 0.279456, 41.09, 0.996, 82.75, 0.411, 0.00, 0.000, 0.00, 0.000
23019,245568, 41.52, 41.30, 0.980, 0.985, 0.411551, 0.121490,1,1,0, 0.453884, 0.201386, 0.267337, 0.149085, 41.52, 0.980, 84.50, 0.486, 0.00, 0.000, 0.00, 0.000
23020,245578, 41.09, 41.21, 0.988, 0.991, 0.421557, 0.118658,1,1,0, 0.468744, 0.292354, 0.473374, 0.264912, 41.09, 0.988, 80.53, 0.512, 0.00, 0.000, 0.00, 0.000
23021,245589, 40.95, 41.10, 0.991, 0.993, 0.380531, 0.083153,1,1,0, 0.217353, 0.096456, 0.193560, 0.102964, 40.95, 0.991, 82.19, 0.505, 0.00, 0.000, 0.00, 0.000
23022,245600, 41.23, 41.19, 0.997, 0.998, 0.455782, 0.262145,1,1,1, 0.513556, 0.375422, 0.516714, 0.317763, 41.23, 0.997, 82.19, 0.462, 0.00, 0.000, 0.00, 0.000
23023,245610, 41.37, 41.32, 0.998, 0.998, 0.410213, 0.183706,1,1,0, 0.121113, 0.075606, 0.146980, 0.099911, 41.37, 0.998, 82.19, 0.442, 0.00, 0.000, 0.00, 0.000
23024,245621, 40.95, 41.06, 0.996, 0.997, 0.440339, 0.217250,1,1,0, 0.482434, 0.297344, 0.483791, 0.260423, 40.95, 0.996, 83.91, 0.460, 0.00, 0.000, 0.00, 0.000
23025,245632, 41.09, 41.08, 0.994, 0.995, 0.403413, 0.152244,1,1,0, 0.481868, 0.188825, 0.463400, 0.169081, 41.09, 0.994, 81.63, 0.505, 0.00, 0.000, 0.00, 0.000
